Operateur;X;Y;2G;3G;4G
20801;-5.08885611530134;48.4565745588299;1;1;0
20810;-5.088018169414725;48.46285384829353;1;1;0
20820;-5.088008862939314;48.46288161522891;1;1;1
20801;-4.956781637814166;48.39729748137953;0;1;1
20801;-4.854028771080817;48.03805041236693;1;1;0
20820;-4.780119809240886;48.354064309493076;1;1;1
20820;-4.731946160592188;48.038597270364406;1;0;0
20801;-4.777731877992547;48.35470076931587;1;1;0
20820;-4.771695463881176;48.50420651952512;1;1;0
20801;-4.771619784305975;48.50433804018767;1;1;0
20810;-4.7489456963621866;48.37001805336464;1;1;1
20801;-4.754270395748871;48.454202465754555;1;1;1
20801;-4.677613741696568;48.03721814578295;1;1;1
20820;-4.722874591181859;48.35043593788757;1;1;1
20815;-4.722782941392551;48.35055041353047;0;1;1
20801;-4.722711567761938;48.35061836231261;1;1;1
20810;-4.722661788562955;48.35064873822669;1;1;0
20820;-4.736390230012217;48.4502745035336;1;1;1
20815;-4.736106277402932;48.45028403016641;0;1;1
20815;-4.73673980531833;48.487494347306416;0;1;1
20810;-4.7362451668761345;48.48819557841366;1;1;0
20820;-4.716385615928395;48.40719668271268;1;1;0
20801;-4.7161736109328105;48.40750883011894;1;1;1
20820;-4.661295219361242;48.033275528740695;1;1;0
20810;-4.661275366918117;48.033231617519064;1;1;0
20815;-4.6610424394907986;48.033391485915516;0;1;1
20810;-4.732050082929065;48.5380220645243;1;1;0
20810;-4.712836408491827;48.43584864044697;1;1;0
20820;-4.691832189578883;48.55459409750961;1;1;0
20810;-4.6419882375307235;48.36019025481538;1;1;1
20815;-4.641979626571423;48.36031736042641;0;1;1
20820;-4.660579008628377;48.528445596804744;1;1;1
20810;-4.660602261362572;48.52869716369921;1;1;0
20815;-4.660566479466566;48.52854582705394;0;1;0
20801;-4.660596652722692;48.528751755521526;1;1;1
20801;-4.632848317346042;48.3592717086649;1;1;1
20801;-4.621458999320931;48.38189027371681;0;1;1
20810;-4.627917599727264;48.42861949293601;0;1;0
20801;-4.627879842901475;48.42864000502851;0;1;1
20810;-4.621157156784434;48.38830919658499;1;1;1
20801;-4.62096112233353;48.38826760521155;1;1;0
20820;-4.620451957647643;48.38821908811928;1;1;1
20810;-4.627854753900018;48.458595049501405;1;1;0
20820;-4.613009485040318;48.35724381245644;1;1;1
